r_px,raw_sum_adu,ap_area_pix,net_adu,err_adu,snr3
2.0,180255.6516234584,12.566370614359172,1409.6540403729305,65.63338771367066,21.477697395761826
2.25,228160.52206192398,15.904312808798327,1808.556370831444,73.89313650274651,24.475295763960734
2.5,281708.3100735229,19.634954084936208,2261.438849951839,82.17244519863814,27.520646908890065
2.75,340899.8795038129,23.75829444277281,2769.165323291905,90.47345680328131,30.60748888276669
3.0,405734.9890980018,28.274333882308138,3331.494536059501,98.79830487983291,33.72015886417843
3.25,476227.5837954042,33.18307240354219,3962.3714275690727,107.14911267587445,36.97997424911233
3.5,552374.3039921176,38.48451000647496,4658.43639391847,115.5279922650857,40.32301005655336
3.75,634177.4530946289,44.178646691106465,5421.992841594038,123.93704370876144,43.74796008798734
4.0,721639.0248950066,50.26548245743669,6255.034562664689,132.37835423846943,47.2511884488058
4.25,814786.7529878203,56.74501730546564,7185.295151700033,140.85399746107063,51.01236231286877
4.5,913616.7607932804,63.61725123519331,8208.898028910276,149.3660325872408,54.95826518733885
4.75,1018126.5679213863,70.8821842466197,9323.362804294913,157.91650368454808,59.03982539354556
5.0,1128317.5619792521,78.53981633974483,10530.077084967867,166.50743895605558,63.24088071372565
5.25,1244223.3175854003,86.59014751456867,11862.615489452146,175.1408500453277,67.73185973678908
5.5,1365839.599047362,95.03317777109125,13316.742325278232,183.81873136863103,72.44496916134607
5.75,1493161.344956588,103.86890710931253,14887.396183897275,192.54305947502735,77.3198277023751
6.0,1626202.0361052826,113.09733552923255,16588.057857513428,201.31579243496762,82.39819468148272
6.25,1765016.4619192006,122.7184630308513,18473.51677188161,210.13886925790226,87.91099351167234
6.5,1909579.072667089,132.73228961416876,20518.223195748636,219.01420933933375,93.68443836426314
6.75,2059889.2018865563,143.13881527918494,22721.510666723596,227.9437119376472,99.68035737234526
7.0,2215968.7862820704,153.93804002589985,25105.31588927377,236.92925568096695,105.96123225524714
7.25,2377880.733953614,165.1299638543135,27732.546963381115,245.97269810419874,112.74644371967281
7.5,2545601.9828204997,176.71458676442586,30580.14180836035,255.0758752163356,119.88645254054168
7.75,2719133.759443653,188.69190875623696,33649.32698513521,264.2406010980206,127.34351513472724
8.0,2898507.1956445565,201.06192982974676,36971.23431518907,273.4686675292821,135.19367556515525
8.25,3083815.737470609,213.8246499849553,40639.30984592019,282.76184364728124,143.72275028951182
8.5,3275038.810945631,226.98006922186255,44632.97960114991,292.12187563383657,152.7888984839178
8.75,3472174.669548933,240.52818754046854,48950.49706018763,301.55048643242526,162.32935864010616
9.0,3675276.4956785096,254.46900494077323,53645.04462102894,311.04937549428956,172.4647237622047
9.25,3884464.850732442,268.8025214227767,58837.18368175393,320.6202185532214,183.51052203523855
9.5,4099706.303901215,283.5287369864788,64493.4834328494,330.2646674285343,195.27818078452214
9.75,4321035.92280802,298.6476516318797,70649.01149750501,339.98434985568446,207.80077532243436
10.0,4548499.90135249,314.1592653589793,77349.96177535318,349.7808693439471,221.13834275851517
10.25,4782257.729729179,330.0635781677776,84755.82446095068,359.65580506051396,235.65815779531232
10.5,5022302.627475694,346.3605900582747,92859.81909190118,369.61071174033435,251.236817933834
10.75,5268666.468337078,363.05030103047045,101693.81941324938,379.64711962098454,267.8640615389734
11.0,5521421.123795719,380.132711084365,111329.69690738339,389.76653440182037,285.631748960291
11.25,5780765.9875100525,397.60782021995817,121966.84523273911,399.9704372266355,304.93965023627226
11.5,6046699.890171822,415.4756284372501,133604.09508105926,410.26028468902666,325.656906279217
11.75,6319274.563868575,433.73613573624084,146293.17853988986,420.6375088596427,347.78919011881226
12.0,6598613.673666377,452.3893421169302,160157.7606752999,431.10351733448056,371.50650420473886
12.25,6884892.387481778,471.43524757931834,175373.0094038369,441.65969330337555,397.0772340399498
12.5,7178163.340759173,490.8738521234052,191991.56016989704,452.3073956378235,424.4714148420218
12.75,7478489.450250734,510.70515574919074,210076.32972565107,463.047958997267,453.68158015548227
13.0,7785991.857232714,530.929158456675,229748.4593473524,473.8826939529728,484.8213751611537
13.25,8100829.989453981,551.5458602458581,251167.37678387016,484.8128871286279,518.0707515252824
13.5,8423060.433237612,572.5552611167398,274389.66835828125,495.8398013567843,553.3837090275103
13.75,8752764.203735203,593.9573610693203,299496.34922217764,506.96467585028586,590.7637425030838
14.0,9089979.003300633,615.7521601035994,326525.1217294466,518.1887263878202,630.1277992008461
14.25,9434865.920736182,637.9396582195774,355637.07468235865,529.5131455127473,671.6303036027217
14.5,9787405.78719731,660.519855417254,386813.0392363798,540.9391027443661,715.0768677545163
14.75,10147613.174651336,683.4927516966294,420067.5873588268,552.4677448007994,760.3477149788871
15.0,10515503.205115188,706.8583470577034,455415.84106663056,564.1001958326868,807.3314713078166
15.25,10891013.910382759,730.6166415004762,492795.8321536798,575.8375576668968,855.7896677499214
15.5,11274058.478433795,754.7676350249478,532120.7485997248,587.6809100594838,905.4586247252181
15.75,11664630.984306648,779.311327631118,573384.6654431131,599.6313109571411,956.2286941418508
16.0,12062514.70019509,804.247719318987,616370.8548776209,611.6897967664135,1007.6526666554731
